desc,name
British author and humorist,Douglas Adams
American filmmaker,Stanley Kubrick
16th President of the United States,Abraham Lincoln
First President of the United States,George Washington
"British computer scientist, inventor of the World Wide Web",Tim Berners-Lee
44th President of the United States of America,Barack Obama
Belgian author and visionary,Paul Otlet
"American former professor, co-founder of Wikipedia, founder of Citizendium and other projects",Larry Sanger
Wikipedia co-founder and American Internet entrepreneur,Jimmy Wales
sovereign state and Scandinavian country in northern Europe,Denmark
22nd Prime Minister of Canada,Stephen Harper
former Prime Minister of the United Kingdom,David Cameron
24th President of the French Republic,François Hollande
French classical scholar,Jean-François Champollion
,
American game show contestant and writer,Ken Jennings
,
Austrian composer of the Classical period,Wolfgang Amadeus Mozart
43rd President of the United States,George W. Bush
German classical and romantic composer,Ludwig van Beethoven
French writer,Paul Morand
"Greek painter, sculptor and architect",El Greco
,
35th & 37th President of Chile,Sebastian Piñera
34th & 36th President of Chile,Michelle Bachelet
American singer and actor,Elvis Presley
"Italian mathematician, physicist, philosopher and astronomer",Galileo Galilei
French painter,Claude Monet
Spanish painter,Diego Velázquez
politician from Chile,Ricardo Lagos
King of France,Louis IX of France
Chilean politician and former President,Eduardo Frei Ruiz-Tagle
23rd President of the French Republic,Nicolas Sarkozy
Queen of France,Blanche of Castile
"Führer and Reich Chancellor of Germany, Leader of the Nazi Party",Adolf Hitler
Chilean politician and former President,Patricio Aylwin
"Australian editor, activist, publisher and journalist",Julian Assange
Dutch footballer,Piet Kraak
dictator of Chile,Augusto Pinochet
Belarusian poet and writer,Yanka Kupala
Czech association football player,František Plánička
"American astrophysicist, cosmologist, author and science educator",Carl Sagan
"American entrepreneur, webcam model, and pornographic actress",Jenna Jameson
,
"American singer-songwriter, musician, author, and artist",Bob Dylan
Chilean physician and politician,Salvador Allende
American pornographic actress and anti-porn activist,Linda Lovelace
"Jamaican singer, songwriter, musician",Bob Marley
French Enlightenment philosopher and encyclopædist,Denis Diderot
"1700–1755, German-born French soldier and statesmen","Ulrich Frédéric Woldemar, Comte de Lowendal"
French singer-songwriter and poet,Georges Brassens
"Polish politician, Nobel Peace Prize winner, former President of Poland",Lech Wałęsa
president of Chile y un bueno pa la tula,Eduardo Frei Montalva
American stand-up comedian and television host,Bill Maher
German mathematician,Philipp Ludwig von Seidel
,
French poet,Charles Baudelaire
French Decadent and Symbolist poet,Arthur Rimbaud
French writer,Émile Zola
American television presenter,Rachel Maddow
"Soviet singer, songwriter, poet and actor",Vladimir Vysotsky
"French poet, novelist, and dramatist",Victor Hugo
Swedish alpine skier,Ingemar Stenmark
"French general, First Consul and later Emperor of the French",Napoleon
"American singer-songwriter, poet and visual artist",Patti Smith
French chemist and microbiologist,Louis Pasteur
French fashion designer,Hedi Slimane
Italian general and politician,Giuseppe Garibaldi
French poet and artist,Brigitte Fontaine
French horticulturalist (1719-1786),Pierre Poivre
French veterinary surgeon (1712-1779),Claude Bourgelat
Chilean army officer and political figure,Carlos Ibáñez del Campo
American journalist,Ezra Klein
Chancellor of Germany,Angela Merkel
French journalist and TV host,Frédéric Taddeï
Portuguese poet,Luís de Camões
Roman Catholic saint,Kateri Tekakwitha
Chilean politician and President,Jorge Alessandri
"American businessman and politician, former mayor of New York City",Michael Bloomberg
Italian former professional footballer,Alessandro Del Piero
member of the French Resistance during WWII,Jean Moulin
"Renaissance mathematician, Polish astronomer, physician",Nicolaus Copernicus
last active pharaoh of Ptolemaic Egypt,Cleopatra
Canadian singer-songwriter,Neil Young
Argentine association football player,Lionel Messi
Japanese baseball player,Ichiro Suzuki
"British recording artist; singer, songwriter, musician and record producer",Kate Bush
"German philosopher, writer and politician",Friedrich Theodor Vischer
Italian physicist,Alessandro Volta
French physicist and mathematician,André-Marie Ampère
American musician,Stevie Wonder
founder and first emperor of the Mongol Empire,Genghis Khan
French playwright and actor,Molière
French poet,Paul Verlaine
,
French tragedian,Pierre Corneille
English playwright and poet,William Shakespeare
French dramatist,Jean Racine
French Symbolist poet,Stéphane Mallarmé
"American actress, dancer, glamour model and Web personality",Coco Austin
Chilean politician,Gabriel Gonzáles Videla
"Italian actor, playwright, comedian, singer-songwriter, theater director, painter, and political activist",Dario Fo
Italian Renaissance polymath,Leonardo da Vinci
Chilean politician and President,Juan Antonio Rios
Gibraltarian rhythmic gymnast,Georgina Cassar
state of the United States of America,Utah
medieval Russian artist,Andrei Rublev
Chilean politician and President,Pedro Aguirre Cerda
Chilean politician and President,Arturo Alessandri
Chilean politician and President,Juan Luis Sanfuentes
Russian author,Mikhail Bulgakov
"Soviet and Russian film-maker, writer, film editor, film theorist, theatre and opera director",Andrei Tarkovsky
French poet and criminal,François Villon
Classical Greek philosopher,Plato
General secretary of the Communist Party of the Soviet Union,Joseph Stalin
American actress,Meryl Streep
Russian-American poet,Joseph Brodsky
"Classical Greek philosopher, student of Plato and founder of Western philosophy",Aristotle
Polish politician and Prime Minister,Józef Piłsudski
British comic actor and filmmaker,Charlie Chaplin
German-speaking Bohemian Jewish novelist and short story writer,Franz Kafka
classical Greek Athenian philosopher,Socrates
"British philologist and author, creator of classic fantasy works",J. R. R. Tolkien
"Argentine short-story writer, essayist, poet and translator",Jorge Luis Borges
"Russian architect, one of the founders of constructivism",Konstantin Melnikov
Dutch writer and translator,J. Bernlef
Dutch author,Harry Mulisch
"Polish politician, current President of the European Council",Donald Tusk
"Norwegian polar researcher, who was the first to reach the South Pole",Roald Amundsen
Emperor of Brazil and later King of Portugal,Pedro I
British physicist and mathematician and founder of modern classical physics,Isaac Newton
American physicist and engineer,John Bardeen
Australian writer and feminist,Miles Franklin
German-born physicist and founder of the theory of relativity,Albert Einstein
Swiss musician and music producer,Roman Camenzind
Soviet nuclear physicist and human rights activist,Andrei Sakharov
"Slovene national poet, a Carniolan Romantic poet of Slovene descent",France Prešeren
Russian author,Fyodor Dostoyevsky
"264th Pope of the Catholic Church, saint",John Paul II
Slovenian biologist,Ivan Regen
pre-eminent leader of Indian nationalism during British-ruled India,Mahatma Gandhi
"Swedish botanist, physician, and zoologist",Carl Linnaeus
"Indian lawyer, statesman, and writer, first Prime Minister of India",Jawaharlal Nehru
Italian Marshal of the Air Force and minister,Italo Balbo
Roman politician and general,Julius Caesar
"British naturalist, author of ""On the origin of species, by means of natural selection""",Charles Darwin
British house music DJ,Julio Bashmore
Italian poet and novelist,Alessandro Manzoni
Italian poet,Dante Alighieri
Indian politician,Narendra Modi
French Baroque composer and music theorist,Jean-Philippe Rameau
"American lawyer, politician and 42nd President of the United States",Bill Clinton
French composer,Maurice Ravel
,
French Romantic composer,Hector Berlioz
Indian Prime Minister,Indira Gandhi
German painter,Hubert Salentin
11th President of Italy,Giorgio Napolitano
Italian-born French composer,Jean-Baptiste Lully
American singer and songwriter,Bruce Springsteen
10th President of Italy,Carlo Azeglio Ciampi
"English singer and songwriter, founding member of The Beatles",John Lennon
8th President of Italy,Francesco Cossiga
7th President of Italy,Sandro Pertini
9th President of Italy,Oscar Luigi Scalfaro
5th President of Italy,Giuseppe Saragat
3rd President of Italy,Giovanni Gronchi
Jamaican sprinter and soccer player,Usain Bolt
6th President of Italy,Giovanni Leone
2nd President of Italy,Luigi Einaudi
1st President of Italy,Enrico de Nicola
6th Secretary-General of the United Nations,Boutros Boutros-Ghali
7th Secretary-General of the United Nations,Kofi Annan
4th President of Italy,Antonio Segni
"4th Secretary-General of the United Nations, President of Austria",Kurt Waldheim
3rd Secretary-General of the United Nations,U Thant
1st Secretary-General of the United Nations,Trygve Lie
"Swedish diplomat, economist, and author",Dag Hammarskjöld
5th Secretary-General of the United Nations,Javier Pérez de Cuéllar
8th Secretary-General of the United Nations,Ban Ki-moon
Polish composer and pianist,Frédéric Chopin
acting Secretary-General of the United Nations,Gladwyn Jebb
Chilean politician and President,Ramón Barros Luco
Chilean politician and President,Germán Riesco
Chilean politician and President,Pedro Montt
Chilean politician and Vice President,Aníbal Zañartu
"French mathematician, physicist, inventor, writer, and Christian philosopher",Blaise Pascal
Saudi Arabian founder of al-Qaeda,Osama bin Laden
Chilean politician and President,Domingo Santa María
Chilean politician and President,José Manuel Balmaceda
Iraqi politician and President,Saddam Hussein
Chilean politician and President,Federico Errázuriz Echaurren
Canadian poet and singer-songwriter,Leonard Cohen
"Chilean sailor, politician and President",Jorge Montt
Chilean politician and President,Aníbal Pinto
Chilean politician,Ramón Freire
Chilean politician and President,José Joaquín Pérez
Chilean politician and President,Manuel Blanco Encalada
Austrian and British economist,Friedrich Hayek
Chilean politician and President,Francisco Antonio Pinto
Chilean politician and President,Manuel Bulnes
Chilean politician,Federico Errázuriz Zañartu
Chilean politician and President,Manuel Montt
American game designer,Dave Arneson
Italian composer,Antonio Vivaldi
"Militar, Chilean politician and President",José Joaquín Prieto
Italian comics author,Leo Ortolani
German composer and musician of the Baroque era,Johann Sebastian Bach
Ancient Roman poet,Virgil
"Russian politician, communist theorist and first leader of Soviet Russia",Vladimir Lenin
Italian scholar and poet,Petrarch
Italian author and poet,Giovanni Boccaccio
"Italian politician, writer and author",Niccolò Machiavelli
"2nd Emperor of Ancient Rome, member of the Julio-Claudian dynasty",Tiberius
Roman emperor,Servius Sulpicius Galba Caesar
founder of Julio-Claudian dynasty and first emperor of the Roman Empire,Augustus
"4th Emperor of Ancient Rome, member of the Julio-Claudian dynasty",Claudius
Emperor of Ancient Rome,Otho
"Emperor of Ancient Rome, 5th and last of the Julio-Claudian dynasty",Nero
Emperor of Ancient Rome,Vitellius
"Italian dramatist, novelist, short story writer, and poet, Nobel Prize for Literature laureate",Luigi Pirandello
"Emperor of Ancient Rome, founder of the Flavian dynasty",Vespasian
"3rd Emperor of Ancient Rome, a member of the Julio-Claudian dynasty",Caligula
Emperor of Ancient Rome,Titus
Emperor of Ancient Rome,Domitian
Emperor of Ancient Rome,Hadrian
Emperor of Ancient Rome,Trajan
Emperor of Ancient Rome,Nerva
Emperor of Ancient Rome,Antoninus Pius
Emperor of Ancient Rome,Lucius Verus
Emperor of Ancient Rome,Commodus
Swiss tennis player,Roger Federer
Emperor of Ancient Rome,Didius Julianus
Emperor of Ancient Rome,Caracalla
Emperor of Ancient Rome,Pertinax
former President of the Philippines from 1965 to 1986,Ferdinand Marcos
Romanian singer-songwriter,Alexandra Stan
American singer-songwriter,Bruno Mars
15th President of the Philippines (2010-2016),Benigno Aquino III
Philippine politician and President,Corazon Aquino
Emperor of Ancient Rome,Marcus Aurelius Antoninus
French author and journalist,Robert Brasillach
Dutch graphic artist,M. C. Escher
Portuguese explorer,Ferdinand Magellan
Emperor of Ancient Rome,Septimius Severus
"Filipino writer, ophthalmologist, polyglot and nationalist",José Rizal
president of the Philippines from 1935 to 1944,Manuel L. Quezon
Egyptian pharaoh of the Nineteenth Dynasty of Egypt,Ramesses II
the founding Pharaoh of Ancient Egypt's Nineteenth Dynasty,Ramesses I
"German composer, conductor",Richard Wagner
the third pharaoh of the Twentieth Dynasty of the New Kingdom of Ancient Egypt,Ramesses IV
Roman philosopher and statesman,Cicero
egyptian pharaoh,Ramesses III
American singer and songwriter,Janis Joplin
French architect,Tony Garnier
"American singer, songwriter, actress and activist",Cyndi Lauper
German physicist and mathematician,Georg Simon Ohm
"Italian physician, physicist, and philosopher",Luigi Galvani
baseball player from the United States,Tim Lincecum
"English athlete, sports official, and Conservative Party politician","David Cecil, 6th Marquess of Exeter"
Swedish industrialist and International Olympic Committee official,Sigfrid Edström
"American aviator, author, inventor, explorer, and social activist",Charles Lindbergh
Italian sports official and IAAF president,Primo Nebiolo
American astronaut; first person to walk on the moon,Neil Armstrong
French singer,Édith Piaf
Dutch athlete and president of the IAAF,Adriaan Paulen
